tt0050083;12_angry_men;1957;8.9;0;3;3.50;1;8.00;Crime;Drama
tt2024544;12_years_a_slave;2013;8.1;3;6;15.88;2;4.00;Biography;Drama;History
tt0086837;2010_the_year_we_make_contact;1984;6.8;0;5;1.38;0;0.00;Adventure;Mystery;Sci-Fi
tt0478087;21;2008;6.8;0;0;0.00;0;0.00;Crime;Drama;Thriller
tt1253863;300_rise_of_an_empire;2014;6.2;0;0;0.00;0;0.00;Action;Drama;Fantasy
tt0381849;3_10_to_yuma;2007;7.7;0;2;1.75;0;0.00;Adventure;Crime;Drama
tt1187043;3_idiots;2009;8.4;0;0;0.00;0;0.00;Comedy;Drama
tt1022603;500_days_of_summer;2009;7.7;0;0;0.00;0;0.00;Comedy;Drama;Romance
tt0056801;8_and_half;1963;8.1;2;3;5.75;0;0.00;Drama;Fantasy
tt0472033;9;2009;7.1;0;0;0.00;0;0.00;Animation;Action;Adventure
tt0085334;a_christmas_story;1983;8.0;0;0;0.00;0;0.00;Comedy;Family
tt1571222;a_dangerous_method;2011;6.5;0;0;0.00;0;0.00;Biography;Drama;Romance
tt0058461;a_fistful_of_dollars;1964;8.0;0;0;0.00;0;0.00;Western
tt3416532;a_monster_calls;2016;7.8;0;0;0.00;0;0.00;Drama;Fantasy
tt1832382;a_separation;2011;8.4;1;1;5.25;1;8.00;Drama;Mystery
tt0095467;a_short_film_about_love;1988;8.3;0;0;0.00;0;0.00;Drama;Romance
tt1185836;adam;2009;7.2;0;0;0.00;0;0.00;Drama;Romance
tt0268126;adaptation_;2002;7.7;1;3;5.38;1;2.00;Comedy;Drama
tt0068182;aguirre_the_wrath_of_god;1972;8.0;0;0;0.00;0;0.00;Adventure;Drama;History
tt0094625;akira;1988;8.1;0;0;0.00;0;0.00;Animation;Action;Drama
tt0042192;all_about_eve;1950;8.3;6;8;25.12;0;0.00;Drama
tt0074119;all_the_president_s_men;1976;8.0;4;4;13.62;0;0.00;Drama;History;Thriller
tt0181875;almost_famous;2000;7.9;1;3;7.00;1;3.00;Adventure;Comedy;Drama
tt0765429;american_gangster;2007;7.8;0;2;0.75;0;0.00;Biography;Crime;Drama
tt0069704;american_graffiti;1973;7.5;0;5;3.75;0;0.00;Comedy;Drama;Music
tt0120586;american_history_x;1998;8.6;0;1;1.00;0;0.00;Crime;Drama
tt2179136;american_sniper;2014;7.3;1;5;6.75;0;0.00;Action;Biography;Drama
tt0245712;amores_perros;2000;8.1;0;1;1.00;1;1.00;Drama;Thriller
tt1602620;amour;2012;7.9;1;4;8.25;3;10.00;Drama;Romance
